category,human_report_loc,question
Energy (Oil),/Users/danielliu/Workspace/fin-rag/experiments/human_report/20250317_JP_Morgan_COP_ConocoPhillips-_The_-6_Billion_FCF_Question-_How_the_Sau.pdf.txt,How is ConocoPhillips positioned to deliver sustained free cash flow growth and shareholder returns in the coming years amid its current investment cycle and market conditions?
Energy (Oil),/Users/danielliu/Workspace/fin-rag/experiments/human_report/20250210_Barclays_CVX_Chevron_Corporation-_On_the_Cusp_of_FCF_Inflection.pdf.txt,"What is the outlook for Chevron Corporation’s financial performance and shareholder returns over the next several years, and what are the key factors and risks influencing its ability to deliver free cash flow growth and competitive cash returns to investors?"
Energy (Oil),/Users/danielliu/Workspace/fin-rag/experiments/human_report/20250407_Barclays_XOM_Exxon_Mobil_Corporation-_Updating_1Q25_Estimates.pdf.txt,"What are the updated financial prospects and investment outlook for Exxon Mobil Corporation, and how do they compare to market expectations?"
Energy (Oil),/Users/danielliu/Workspace/fin-rag/experiments/human_report/20250211_JP_Morgan_XOM_Exxon_Mobil_Corp-_Goalposts_Set_for_2025_Project_Startup.pdf.txt,"What is the investment outlook for Exxon Mobil in 2025 and beyond, considering its project startup pipeline, financial performance, and industry environment?"
Energy (Oil),/Users/danielliu/Workspace/fin-rag/experiments/human_report/20250212_JP_Morgan_COP_ConocoPhillips-_4Q24_Post_Mortem_and_Model_Update-_Makin.pdf.txt,"What is the investment outlook for ConocoPhillips, including the company’s financial performance, capital allocation strategy, and valuation, following its recent results and strategic transactions?"
Energy (Oil),/Users/danielliu/Workspace/fin-rag/experiments/human_report/20250319_Wells_Fargo_EOG_EOG-_Post_Q4_Adjustments-_Reducing_PT.pdf.txt,"What is the current investment outlook for EOG Resources, Inc., and what factors are likely to influence its stock performance and valuation over the next 12 months?"
Energy (Oil),/Users/danielliu/Workspace/fin-rag/experiments/human_report/20250214_Wells_Fargo_COP_COP-_Post_Q4_Adjustments.pdf.txt,"What is the investment outlook and target valuation for ConocoPhillips, considering its recent financial performance, operational execution, and market risks?"
Energy (Oil),/Users/danielliu/Workspace/fin-rag/experiments/human_report/20250226_Wells_Fargo_OXY_OXY-_Post_Q4_Adjustments_Busy_Project_Year_Ahead.pdf.txt,"What is the current investment outlook for Occidental Petroleum Corporation, including its valuation, key financial drivers, and risks, and how do these factors inform the updated price target and investment rating?"
Energy (Oil),/Users/danielliu/Workspace/fin-rag/experiments/human_report/20250331_JP_Morgan_EOG_EOG_Resources-_1Q25_Preview_and_Key_Takeaways_from_Sell_.pdf.txt,What are the key drivers and risks influencing the financial outlook and investment potential of EOG Resources in the current market environment?
Energy (Oil),/Users/danielliu/Workspace/fin-rag/experiments/human_report/20250207_Wells_Fargo_CVX_CVX-_Post_Q4_Adjustments.pdf.txt,"What is the investment outlook for Chevron Corporation, including its expected financial performance, key risks, and potential for shareholder returns?"
Energy (Oil),/Users/danielliu/Workspace/fin-rag/experiments/human_report/20250307_Wells_Fargo_EOG_EOG-_Q4-24_First_Look_Slightly_Negative.pdf.txt,"What is the current financial and operational outlook for EOG Resources, Inc., and how is the company positioned for future performance relative to market expectations and industry peers?"
Energy (Oil),/Users/danielliu/Workspace/fin-rag/experiments/human_report/20250306_JP_Morgan_EOG_EOG_Resources-_4Q24_Post_Mortem_and_Model_Update-_Reconc.pdf.txt,"What are the key factors driving the outlook and valuation for EOG Resources, and how do these factors impact its expected financial performance and investment attractiveness for 2025?"
Energy (Oil),/Users/danielliu/Workspace/fin-rag/experiments/human_report/20250312_Barclays_COP_ConocoPhillips-_Mgmt_Meeting_Takeaways-_FCF_Inflection_S.pdf.txt,"What is the outlook for ConocoPhillips’ free cash flow growth and overall financial performance over the next several years, and how does this position the company relative to its industry peers?"
Financials-Diversified Banks,/Users/danielliu/Workspace/fin-rag/experiments/human_report/Wells Fargo JPM JPM Reiterate Buy—Increase Ests_ Signature Pick.pdf.txt,"What is the investment outlook for J.P. Morgan Chase & Co., including the factors supporting its valuation and potential risks to its future performance?"
Financials-Diversified Banks,/Users/danielliu/Workspace/fin-rag/experiments/human_report/Wells Fargo C C Volatility = Opportunity_ Still #1 Pick.pdf.txt,"What is the investment outlook for Citigroup Inc., and does the company have the potential to transition from value destruction to value creation over the next few years?"
